                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     39,                0.73093,                0.40007,                0.33829,                0.76354,                0.98008,                0.98903,                0.99055,                0.78268,                 0.9745,                0.98505,                0.98705,                0.71145,                0.70551,                0.40451,                0.33755,                0.72965,             0.00079501,             0.00079501,             0.00079501
                     40,                0.71376,                0.39171,                0.33507,                0.76212,                0.98544,                0.98721,                0.99232,                0.79144,                0.97801,                0.98049,                0.98338,                0.71183,                  0.665,                0.38609,                0.32843,                0.72288,             0.00079201,             0.00079201,             0.00079201
                     41,                0.70834,                0.38485,                 0.3334,                0.76211,                0.98455,                0.98286,                0.99258,                0.78834,                0.97881,                0.97579,                0.98913,                0.71911,                0.67175,                0.39177,                0.32977,                0.72925,             0.00078901,             0.00078901,             0.00078901
                     42,                0.71497,                 0.3884,                0.33922,                0.76806,                0.99181,                0.98754,                 0.9928,                0.79114,                0.98828,                0.98373,                0.99027,                0.71683,                0.65787,                0.39589,                0.32749,                0.73114,             0.00078601,             0.00078601,             0.00078601
                     43,                0.70002,                0.40393,                0.33177,                0.76711,                0.98825,                0.98767,                0.99289,                0.79096,                0.98207,                0.98217,                0.98729,                0.71813,                0.67393,                0.40136,                0.33063,                0.73455,             0.00078301,             0.00078301,             0.00078301
                     44,                0.69858,                0.38764,                0.33284,                0.76352,                0.97935,                0.98962,                 0.9923,                0.79257,                0.97433,                0.98385,                0.98884,                0.72538,                0.63908,                0.37265,                0.32635,                0.73244,             0.00078001,             0.00078001,             0.00078001
                     45,                0.68753,                0.37049,                 0.3293,                0.76475,                0.98004,                0.98645,                0.99222,                0.79416,                0.97695,                0.98339,                0.98833,                0.72173,                 0.6379,                0.37726,                0.32672,                0.72643,             0.00077701,             0.00077701,             0.00077701
                     46,                0.71658,                0.37594,                0.33836,                0.76874,                0.98795,                 0.9866,                0.99288,                0.79266,                0.98336,                0.98189,                0.98744,                0.71491,                0.65343,                0.42076,                0.33332,                0.73187,             0.00077401,             0.00077401,             0.00077401
                     47,                0.69082,                0.38742,                0.33107,                0.76557,                 0.9902,                0.98859,                0.99332,                0.79541,                0.98383,                0.98234,                0.98555,                 0.7252,                0.64668,                0.39781,                 0.3234,                0.73154,             0.00077101,             0.00077101,             0.00077101
                     48,                0.68036,                0.36894,                0.32854,                0.76353,                0.98516,                0.98671,                0.99314,                0.79491,                0.98114,                 0.9843,                0.99117,                0.73263,                 0.6473,                0.36832,                0.32746,                0.72963,             0.00076801,             0.00076801,             0.00076801
